protocolo;data;email;categoria;status;tempo_minutos;descricao;data_original;email_valido;protocolo_valido;data_valida;registro_valido;categoria_padronizada;tempo_normalizado
SUP-2026-0002;2026-07-03;aluno2@example.com;SOFTWARE;Em andamento;40.0; Solicitação de suporte número 2  ;03-07-2026;True;True;True;True;Instalação de programas;0.02729528535980149
SUP-2026-0003;2026-04-07;aluno3@example.com;Ambiente Virtual;Aberto;156.0; Solicitação de suporte número 3  ;2026/07/04;True;True;True;True;Acesso ao AVA;0.084863523573201
SUP-2026-0004;2026-07-05;aluno4@example.com;senha;Aberto;12.0; Solicitação de suporte número 4  ;05/07/2026;True;True;True;True;Senha;0.013399503722084368
SUP-2026-0005;2026-06-07;aluno5@example.com;Ambiente Virtual;Em andamento;64.0; Solicitação de suporte número 5  ;2026-07-06;True;True;True;True;Acesso ao AVA;0.039205955334987594
SUP-2026-0006;2026-07-07;aluno6@example.com;atividade;Aberto;148.0; Solicitação de suporte número 6  ;07-07-2026;True;True;True;True;Execução de atividades;0.08089330024813896
SUP-2026-0007;2026-08-07;aluno7@example.com;SOFTWARE;Resolvido;61.0; Solicitação de suporte número 7  ;2026/07/08;True;True;True;True;Instalação de programas;0.03771712158808933
SUP-2026-0008;2026-07-09;aluno8@example.com;PASSWORD;Resolvido;6.0; Solicitação de suporte número 8  ;09/07/2026;True;True;True;True;Senha;0.010421836228287842
SUP-2026-0009;2026-10-07;aluno9@example.com;instalação;Resolvido;92.0; Solicitação de suporte número 9  ;2026-07-10;True;True;True;True;Instalação de programas;0.05310173697270471
SUP-2026-0010;2026-07-11;email-invalido;python;Em andamento;60.0; Solicitação de suporte número 10  ;11-07-2026;False;True;True;False;Configuração do Python;0.03722084367245657
SUP-2026-0011;2026-12-07;aluno11@example.com;Config Python;Aberto;28.0; Solicitação de suporte número 11  ;2026/07/12;True;True;True;True;Configuração do Python;0.021339950372208438
SUP-2026-0012;2026-07-13;aluno12@example.com;senha;Aberto;96.0; Solicitação de suporte número 12  ;13/07/2026;True;True;True;True;Senha;0.05508684863523573
SUP-2026-0013;2026-07-14;aluno13@example.com;Config Python;Resolvido;16.0; Solicitação de suporte número 13  ;2026-07-14;True;True;True;True;Configuração do Python;0.015384615384615385
SUP-2026-0014;2026-07-15;aluno14@example.com;PASSWORD;Aberto;101.0; Solicitação de suporte número 14  ;15-07-2026;True;True;True;True;Senha;0.05756823821339951
SUP-2026-0015;2026-07-16;aluno15@example.com;Ambiente Virtual;Resolvido;165.0; Solicitação de suporte número 15  ;2026/07/16;True;True;True;True;Acesso ao AVA;0.08933002481389578
SUP-2026-0016;2026-07-17;aluno16@example.com;Execução;Resolvido;152.0; Solicitação de suporte número 16  ;17/07/2026;True;True;True;True;Execução de atividades;0.08287841191066997
SUP-2026-0017;2026-07-18;aluno17@example.com;SOFTWARE;Aberto;16.0; Solicitação de suporte número 17  ;2026-07-18;True;True;True;True;Instalação de programas;0.015384615384615385
SUP-2026-0018;2026-07-19;aluno18@example.com;SOFTWARE;Resolvido;25.0; Solicitação de suporte número 18  ;19-07-2026;True;True;True;True;Instalação de programas;0.019851116625310174
